Iteracion;Puntuacion;Array
0;-226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
1;-64.25;[2, 2, 3, 3, 3, 3, 0, 2]
2;-14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3;-17.0;[2, 2, 2, 1, 1, 1, 0, 2]
4;-4385.666666666667;[1, 1, 1, 1, 1, 0, 3, 4]
5;-2493.2;[1, 1, 1, 1, 0, 3, 1, 1]
6;-1758.5;[3, 3, 3, 3, 3, 0, 1, 4]
7;-0.0;[0, 0, 2, 2, 0, 1, 3, 4]
8;-1.2;[4, 4, 4, 4, 0, 1, 4, 2]
9;-14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
