Array;Mask;Score;Generacion
[4, 4, 1, 3, 2, 3, 3, 2];?s?s?l?d?u?d?d?u;-0.0;1
[3, 3, 2, 3, 0, 3, 1, 0];?d?d?u?d;-2.0;1
[3, 2, 2, 4, 0, 3, 1, 2];?d?u?u?s;-0.0;1
[3, 4, 2, 2, 3, 3, 4, 0];?d?s?u?u?d?d?s;-0.0;1
[2, 3, 3, 2, 4, 2, 0, 3];?u?d?d?u?s?u;-0.0;1
[4, 2, 3, 3, 0, 3, 4, 2];?s?u?d?d;-0.0;1
[2, 1, 3, 3, 4, 1, 3, 2];?u?l?d?d?s?l?d?u;-0.0;1
[3, 3, 1, 1, 0, 2, 2, 1];?d?d?l?l;-14.6;1
[2, 3, 2, 2, 1, 4, 0, 2];?u?d?u?u?l?s;-0.0;1
[4, 2, 4, 1, 0, 0, 4, 4];?s?u?s?l;-0.0;1
[3, 4, 2, 2, 4, 0, 0, 1];?d?s?u?u?s;-0.0;1
[3, 1, 4, 1, 1, 4, 3, 2];?d?l?s?l?l?s?d?u;-0.0;1
[3, 2, 3, 1, 4, 1, 1, 1];?d?u?d?l?s?l?l?l;-0.0;1
[1, 2, 3, 3, 1, 0, 1, 0];?l?u?d?d?l;-2.2;1
[4, 4, 3, 3, 2, 0, 0, 1];?s?s?d?d?u;-0.0;1
[3, 1, 2, 1, 0, 2, 4, 2];?d?l?u?l;-0.0;1
[3, 1, 4, 2, 0, 2, 1, 0];?d?l?s?u;-0.0;1
[3, 2, 2, 2, 1, 2, 3, 2];?d?u?u?u?l?u?d?u;-0.0;1
[1, 3, 2, 2, 1, 3, 2, 4];?l?d?u?u?l?d?u?s;-0.0;1
[1, 1, 2, 3, 1, 0, 1, 1];?l?l?u?d?l;-2.0;1
[3, 1, 1, 3, 4, 0, 1, 3];?d?l?l?d?s;-0.0;1
[1, 4, 3, 3, 1, 1, 0, 1];?l?s?d?d?l?l;-0.16666666666666666;1
[2, 3, 3, 4, 2, 4, 1, 2];?u?d?d?s?u?s?l?u;-0.0;1
[4, 4, 2, 3, 0, 1, 1, 2];?s?s?u?d;-0.0;1
[3, 1, 2, 3, 3, 3, 4, 2];?d?l?u?d?d?d?s?u;-0.0;1
[3, 2, 4, 1, 0, 3, 1, 1];?d?u?s?l;-0.0;1
[3, 1, 2, 1, 3, 1, 0, 2];?d?l?u?l?d?l;-0.5;1
[3, 1, 1, 1, 1, 0, 3, 3];?d?l?l?l?l;-56.2;1
[4, 4, 2, 4, 0, 2, 4, 3];?s?s?u?s;-0.0;1
[1, 4, 2, 1, 2, 0, 2, 2];?l?s?u?l?u;-0.0;1
[3, 3, 3, 3, 4, 0, 1, 3];?d?d?d?d?s;-0.2;1
[4, 1, 3, 1, 2, 2, 0, 3];?s?l?d?l?u?u;-0.0;1
[1, 1, 1, 4, 1, 3, 4, 3];?l?l?l?s?l?d?s?d;-0.0;1
[3, 1, 4, 3, 3, 1, 3, 4];?d?l?s?d?d?l?d?s;-0.0;1
[1, 1, 3, 1, 0, 4, 2, 0];?l?l?d?l;-47.6;1
[1, 2, 1, 2, 2, 1, 0, 4];?l?u?l?u?u?l;-6.5;1
[4, 4, 3, 1, 2, 4, 1, 0];?s?s?d?l?u?s?l;-0.0;1
[1, 2, 1, 4, 4, 0, 0, 3];?l?u?l?s?s;-0.0;1
[1, 2, 1, 2, 3, 3, 3, 1];?l?u?l?u?d?d?d?l;-0.2;1
[3, 1, 3, 2, 1, 1, 2, 3];?d?l?d?u?l?l?u?d;-0.0;1
[4, 4, 4, 3, 2, 3, 1, 3];?s?s?s?d?u?d?l?d;-0.0;1
[4, 1, 3, 2, 0, 4, 3, 1];?s?l?d?u;-0.0;1
[4, 1, 1, 1, 3, 1, 0, 1];?s?l?l?l?d?l;-0.0;1
[2, 4, 3, 1, 1, 3, 4, 4];?u?s?d?l?l?d?s?s;-0.0;1
[1, 2, 3, 1, 0, 0, 3, 4];?l?u?d?l;-0.0;1
[1, 3, 2, 4, 4, 4, 3, 3];?l?d?u?s?s?s?d?d;-0.0;1
[1, 2, 3, 1, 4, 0, 0, 4];?l?u?d?l?s;-0.0;1
[1, 4, 2, 1, 1, 0, 3, 3];?l?s?u?l?l;-0.0;1
[2, 4, 4, 3, 3, 3, 3, 3];?u?s?s?d?d?d?d?d;-0.0;1
[2, 3, 4, 3, 0, 1, 2, 2];?u?d?s?d;-0.0;1
[3, 3, 4, 1, 0, 1, 1, 3];?d?d?s?l;-0.0;1
[3, 2, 2, 4, 2, 1, 0, 1];?d?u?u?s?u?l;-0.0;1
[4, 1, 1, 2, 0, 0, 1, 1];?s?l?l?u;-0.0;1
[3, 2, 2, 3, 0, 2, 1, 4];?d?u?u?d;-0.25;1
[1, 2, 4, 3, 0, 1, 4, 0];?l?u?s?d;-0.0;1
[4, 1, 3, 2, 0, 4, 2, 4];?s?l?d?u;-0.0;1
[2, 3, 4, 1, 0, 1, 4, 1];?u?d?s?l;-0.0;1
[1, 1, 2, 4, 3, 1, 0, 4];?l?l?u?s?d?l;-0.0;1
