Iteracion;Puntuacion;Array
0;-14836.819047743153;[1, 1, 1, 1, 1, 1, 0, 0]
1;-14836.819047743153;[1, 1, 1, 1, 1, 1, 0, 1]
2;-839.4977313426458;[2, 2, 2, 2, 2, 2, 0, 3]
3;-14836.819047743153;[1, 1, 1, 1, 1, 1, 0, 3]
4;-14836.819047743153;[1, 1, 1, 1, 1, 1, 0, 0]
5;-11594.353681337343;[3, 3, 3, 3, 3, 3, 0, 3]
6;-2119.7166800065575;[3, 3, 3, 3, 3, 0, 4, 0]
7;-11594.353681337343;[3, 3, 3, 3, 3, 3, 0, 4]
8;-4474.481393595033;[1, 1, 1, 1, 1, 0, 3, 4]
9;-839.4977313426458;[2, 2, 2, 2, 2, 2, 0, 2]
