Evaluations,BestFitness,SolutionArray
10,8.0,[3, 3, 3, 3, 3, 3, 3, 2]
20,8.0,[3, 3, 3, 3, 3, 3, 3, 2]
30,8.0,[3, 3, 3, 3, 3, 3, 3, 2]
40,2110.2,[3, 3, 3, 3, 3, 0, 0, 4]
50,2110.2,[3, 3, 3, 3, 3, 0, 0, 4]
60,2110.2,[3, 3, 3, 3, 3, 0, 0, 4]
70,2110.2,[3, 3, 3, 3, 3, 0, 0, 4]
80,2110.2,[3, 3, 3, 3, 3, 0, 0, 4]
90,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
100,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
110,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
120,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
130,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
140,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
150,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
160,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
170,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
180,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
190,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
200,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
210,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
220,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
230,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
240,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
250,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
260,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
270,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
280,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
290,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
300,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
310,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
320,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
330,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
340,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
350,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
360,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
370,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
380,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
390,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
400,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
410,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
420,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
430,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
440,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
450,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
460,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
470,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
480,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
490,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
500,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
510,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
520,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
530,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
540,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
550,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
560,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
570,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
580,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
590,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
600,11367.0,[3, 3, 3, 3, 3, 3, 0, 4]
