Iteracion;Puntuacion;Array
0;-16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
1;-16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 0]
2;-16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 1]
3;-16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 0]
4;-16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 1]
5;-16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 4]
6;-12620.123584764959;[3, 3, 3, 3, 3, 3, 0, 1]
7;-16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
8;-16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 3]
9;-16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
