Iteracion;Puntuacion;Array
0;-14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
1;-14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
2;-14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
3;-14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4;-5262.8;[1, 1, 1, 1, 1, 0, 4, 0]
5;-14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6;-14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
7;-14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
8;-14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9;-14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
