Iteracion;Puntuacion;Array
0;-14842.718228520602;[1, 1, 1, 1, 1, 1, 0, 0]
1;-14842.718228520602;[1, 1, 1, 1, 1, 1, 0, 2]
2;-14842.718228520602;[1, 1, 1, 1, 1, 1, 0, 0]
3;-11391.986423555665;[3, 3, 3, 3, 3, 3, 0, 0]
4;-14842.718228520602;[1, 1, 1, 1, 1, 1, 0, 2]
5;-14842.718228520602;[1, 1, 1, 1, 1, 1, 0, 3]
6;-14842.718228520602;[1, 1, 1, 1, 1, 1, 0, 0]
7;-14842.718228520602;[1, 1, 1, 1, 1, 1, 0, 0]
8;-14842.718228520602;[1, 1, 1, 1, 1, 1, 0, 0]
9;-11391.986423555665;[3, 3, 3, 3, 3, 3, 0, 2]
