Iteracion;Puntuacion;Array
0;-14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
1;-14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2;-14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3;-14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4;-14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
