Evaluations,BestFitness,SolutionArray
10,0.0,[0, 2, 2, 0, 3, 2, 4, 4, 3, 4, 2, 1, 0, 2, 0, 2]
20,0.3333333333333333,[1, 3, 2, 3, 0, 2, 0, 4, 0, 4, 1, 0, 3, 3, 0, 0]
30,0.4,[1, 1, 2, 3, 0, 2, 0, 4, 0, 4, 1, 0, 3, 3, 0, 0]
