Iteracion;Puntuacion;Array
0;-11904.685019475459;[3, 3, 3, 3, 3, 3, 0, 3]
1;-15581.51314495532;[1, 1, 1, 1, 1, 1, 0, 0]
2;-15581.51314495532;[1, 1, 1, 1, 1, 1, 0, 3]
3;-15581.51314495532;[1, 1, 1, 1, 1, 1, 0, 0]
4;-11904.685019475459;[3, 3, 3, 3, 3, 3, 0, 2]
5;-5476.058528106889;[1, 1, 1, 1, 1, 0, 3, 1]
6;-870.2888374913445;[2, 2, 2, 2, 2, 2, 0, 1]
7;-11344.22162816771;[1, 1, 1, 1, 1, 1, 1, 0]
8;-15581.51314495532;[1, 1, 1, 1, 1, 1, 0, 1]
9;-15581.51314495532;[1, 1, 1, 1, 1, 1, 0, 2]
