Mask;Score;Gen
?d?u?u?u?u;-3.2;16
?u?l?u?u?u;-5.333333333333333;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?d?u?u;-2.4;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?l?u;-4.428571428571429;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?l?u;-4.428571428571429;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?d?u?u;-2.4;16
?u?u?u?u?s;-0.16666666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?s?u?u;-0.0;16
?s?u?u?u?u;-0.0;16
;-0.0;16
?u?u?u?u?u;-205.16666666666666;16
?u?u;-0.0;16
?u?u?u?u?u;-205.16666666666666;16
?u;-0.0;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?l;-4.8;16
?u?u?u?u?u;-205.16666666666666;16
?u?l?u?u?u;-5.333333333333333;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?l?u;-4.428571428571429;16
?u?u?u?d?u;-3.0;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?s?u;-0.0;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u?u?l?s;-0.0;17
?u?u?u;-0.0;17
?d?u?u?u?u;-3.2;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?l?u?u?u?u?l?l?s;-0.0;17
?u?u?u?u?u;-205.16666666666666;17
;-0.0;17
?u?u?u?u?u?s?s?s;-0.0;17
?u?u?u?l?u;-4.428571428571429;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?s?u?u?u?u;-0.0;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?d;-12.0;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u;-0.0;17
?u;-0.0;17
?u?u?u?u?u?s?l?s;-0.0;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?s;-0.16666666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u;-0.0;17
?u?u?u?u?s;-0.16666666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?d?s?u;-0.0;17
?u?u?u?u?u;-205.16666666666666;17
?d?u?u?u?d?s?d?s;-0.0;17
?u?u?u?u?l;-4.8;17
?s?u?u?d?u;-0.0;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;17
?u?u?u?u?u;-205.16666666666666;18
?u?s?u?u?d;-0.0;18
?l?u?u?s?u;-0.0;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?d?u?u;-2.4;18
?u?u?u?u;-136.33333333333334;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?l?u?u?u?u;-4.2;18
?u?u?u?u?u?l?l?s;-0.0;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?s?l?u?u?u;-0.0;18
?u?u?u?u?u?d?u?s;-0.0;18
?u?u?u?u?u;-205.16666666666666;18
?u;-0.0;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u;-0.0;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u?s?d?s;-0.0;18
?u?u?u?l?u;-4.428571428571429;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u;-136.33333333333334;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?l;-4.8;18
?u?s?u?u?u;-0.0;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u?s?l?s;-0.0;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?u?u?s;-0.16666666666666666;18
?u?u?u?u?u?d?l?s;-0.0;18
?u?u?u?u?u;-205.16666666666666;18
?u?u?s?u?u;-0.0;18
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?l?u?u?u?u;-4.2;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?s?u?u;-0.0;19
?u?u?u;-0.0;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u;-0.0;19
?u?u?u?u?u;-205.16666666666666;19
?s?u?u?u?u;-0.0;19
?u;-0.0;19
?l?u?u;-0.0;19
?u?u?u?u?l;-4.8;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?d?u?u?u;-3.5;19
?u?d?u?u?u;-3.5;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u?s?d?s;-0.0;19
?u?u?s?d?u;-0.0;19
?u?d?u?u?u;-3.5;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u?l?l?s;-0.0;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u?s?d?s;-0.0;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u;-0.0;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?l;-4.8;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?d?s;-0.0;19
?u?u?u;-0.0;19
?s?d?u?u?u;-0.0;19
?u?u?d?u?s;-0.0;19
?u?u?u?s?u;-0.0;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?u?u?u;-205.16666666666666;19
?u?u?l?u?u;-4.166666666666667;19
?u?u?u?l?u;-4.428571428571429;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?l?u;-4.428571428571429;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u;-136.33333333333334;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
;-0.0;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u;-136.33333333333334;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?s;-0.16666666666666666;20
?u?u?u?s?l;-0.0;20
?u?u?u?u;-136.33333333333334;20
?u?u?u?s?u;-0.0;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?d?u?u;-2.4;20
?u?u?s?u;-0.0;20
?u?u?u?s?u;-0.0;20
?u?u?u?u?u;-205.16666666666666;20
?u;-0.0;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?s?u?u?u?u;-0.0;20
?u?u?u?u;-136.33333333333334;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u?d?l?s;-0.0;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u?d?l?s;-0.0;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?u?u?u?u?u;-205.16666666666666;20
?d?u?u?u?u;-3.2;20
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?l?u;-4.428571428571429;21
?u?u?u?u;-136.33333333333334;21
?u?s?u?u?u;-0.0;21
?u?u?d?u?u;-2.4;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?l?u?u?u;-5.333333333333333;21
?u?u?u?u?u?u?l?s;-0.0;21
?u?u?u?u?l;-4.8;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u?u?l?s;-0.0;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?s;-0.16666666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?s?u?u;-0.0;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?l;-4.8;21
?u;-0.0;21
;-0.0;21
?u?u?u?u?u;-205.16666666666666;21
?u?d?u?l?u;-0.8;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?s?u?u?u?u;-0.0;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u;-0.0;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?l?u?u;-4.166666666666667;21
?d?u?u?u?u;-3.2;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?d;-12.0;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?l;-4.8;21
?u?u?u?u?u;-205.16666666666666;21
;-0.0;21
?u?u?u?u?u;-205.16666666666666;21
?u?u?u?u?s;-0.16666666666666666;21
?u?u?u?u?u?s?l?s;-0.0;21
?u?u?u?u?u?l?d?s;-0.0;21
?u?u?u?u?u;-205.16666666666666;22
?u?d;-0.0;22
?u?u?u?u?u?s?l?s;-0.0;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?s?u?u;-0.0;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u?u?s?s;-0.031746031746031744;22
?u?u;-0.0;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?d?u?u;-2.4;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u?l?l?s;-0.0;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?d?u?u?u;-3.5;22
?u?u?u?u?u;-205.16666666666666;22
?u?d?u?u?u;-3.5;22
?u?u?s?u?d?s?l?s;-0.0;22
?s?u?u?s?u;-0.0;22
?l?u?u?u?u;-4.2;22
?u;-0.0;22
?u?s?u?u?u;-0.0;22
?u?u?l?u?u;-4.166666666666667;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u?s?l?s;-0.0;22
?u?u?u;-0.0;22
?u?u?u?u?u?u?l?s;-0.0;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u?u?l?s;-0.0;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?l;-4.8;22
;-0.0;22
?u?u;-0.0;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?d?u?l?s;-0.0;22
?u?u?u?u?u;-205.16666666666666;22
?u?s?u?u?u;-0.0;22
?u?u?u?u?u?l?l?s;-0.0;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;22
?u?u?u?u?u;-205.16666666666666;23
?l?u?u?u?u;-4.2;23
?u?d?u?u?u;-3.5;23
?u?l?u?u?u?l?l?s;-0.0;23
?u?u?u?l?u;-4.428571428571429;23
?u?u?u?u?u?d?l?s;-0.0;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?s?u?u;-0.0;23
?u?u?u?d?u;-3.0;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?l?u?u;-4.166666666666667;23
?u?u?u?u?u;-205.16666666666666;23
?u;-0.0;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?d?u?u?d?l?s;-0.0;23
?u?d?u?u?u;-3.5;23
?u?u?u?u?u;-205.16666666666666;23
?u;-0.0;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?d?u;-3.0;23
?u?u?u?u?u;-205.16666666666666;23
?u?d?u?u?u;-3.5;23
?u?u?u?u?d;-12.0;23
?u?u?u?u?u;-205.16666666666666;23
?d?u?u;-0.0;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u;-136.33333333333334;23
?u?u?u?u;-136.33333333333334;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u?u?u;-205.16666666666666;23
?l?u?u?d?u;-1.2;23
?u?u?u?u?u?d?d?s;-0.0;23
?u?u?u?u?u;-205.16666666666666;23
?u?u?u;-0.0;23
?u?u?u?s?u?u?l?s;-0.0;23
?u?u?u?u?d;-12.0;23
?s?u?u?u?u;-0.0;23
?u?u?u?u?d;-12.0;23
?u?u?u?u?u;-205.16666666666666;23
?u?d?u?u?u;-3.5;23
?u?u?u?s?u;-0.0;24
?u?u?u?u?u;-205.16666666666666;24
?l?u?u?u?u;-4.2;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?s?u;-0.0;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?d?u;-3.0;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?d?u?u?u?u;-3.2;24
?u?d?u?u?u;-3.5;24
?u?u?u?u?l;-4.8;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u;-0.0;24
?u?u?u?u?u?u?l?s;-0.0;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?s?u;-0.0;24
?u?u?u?u?u;-205.16666666666666;24
?l?u?u?u?u?l?d?s;-0.0;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u?s?d?s;-0.0;24
?u?u?u?u?u;-205.16666666666666;24
?u;-0.0;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u?l?d?s;-0.0;24
?u?u?u?u?l?l?l?s;-0.0;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?d;-12.0;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?l;-4.8;24
?u?u?u?u?s;-0.16666666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?u?u;-205.16666666666666;24
?u?u?u?d?u;-3.0;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u?l?l?s;-0.0;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?s?u?u?u;-0.0;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?l?u?u;-4.166666666666667;25
?u?u?u?d?u;-3.0;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?u;-0.0;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?s?u;-0.0;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u?d?d?s;-0.0;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u?u?l?s;-0.0;25
?u?u?u?u?s;-0.16666666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?d;-12.0;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
;-0.0;25
?u?u?u?u?u;-205.16666666666666;25
?d?u?u?u?u;-3.2;25
?u?l?u?u?u;-5.333333333333333;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?s?u;-0.0;25
?u?s?d?u?u;-0.0;25
?l?u?u?u?u;-4.2;25
?u?l?s?u?l;-0.0;25
?u?u?l?u?s;-0.0;25
?u?u?u?u?u;-205.16666666666666;25
?d?u?u?u?u;-3.2;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?u?d?u?u?u;-3.5;25
?u?u?u?u?u;-205.16666666666666;25
?u?u?u?u?u;-205.16666666666666;25
?l?u?u?u?u;-4.2;25
?u?u?u?u?d;-12.0;26
?l?u?u?u?u;-4.2;26
?u?u?u?u?l;-4.8;26
?u?u?u?u?u;-205.16666666666666;26
?u;-0.0;26
?u?u?u?u?u;-205.16666666666666;26
?u?l?u?u?u;-5.333333333333333;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?s?u?u;-0.0;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?l?u;-4.428571428571429;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?d?u?u?u?u;-3.2;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?l?u;-4.428571428571429;26
?u?u?u?u?u;-205.16666666666666;26
?u?l?u?u?u;-5.333333333333333;26
?u?u?u?u?s;-0.16666666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u?l?s?s;-0.0;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?s?u?u?u?u;-0.0;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?d;-12.0;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?u?u?u;-205.16666666666666;26
?u?u?s?u?u?l?l?s;-0.0;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u;-0.0;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?s?u?u?u;-0.0;27
?u?l?u?u?u;-5.333333333333333;27
?l?u?u?u?u;-4.2;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?l?u;-4.428571428571429;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?s?u?u;-0.0;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
;-0.0;27
?s?u?u?u?u;-0.0;27
?u?u?u?u?s;-0.16666666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?l;-4.8;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?l?u;-4.428571428571429;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?s;-0.16666666666666666;27
?u?u?u?u?s;-0.16666666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?l?u;-4.428571428571429;27
?u?u?l?u?u;-4.166666666666667;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?l?u?u;-4.166666666666667;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?s?u?u;-0.0;27
?d?u?u?u?u;-3.2;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u;-136.33333333333334;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?u?u?u?u;-205.16666666666666;27
?u?d?u?u?u;-3.5;28
?s?u?u?u?u;-0.0;28
?u?u?u?l?u;-4.428571428571429;28
?u?u?l?u?d;-2.4;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u?s?l?s;-0.0;28
?u?u?u?u?u;-205.16666666666666;28
?u?s?u?u?u;-0.0;28
?u?u?u?d?u;-3.0;28
?u?u?u?u?u;-205.16666666666666;28
?u?s?u?u?u;-0.0;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?d?u?u?u?u;-3.2;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u?d?l?s;-0.0;28
?u?u?u?l?u;-4.428571428571429;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?s;-0.16666666666666666;28
?u?u?u?d?u;-3.0;28
?u?u?u?u?u;-205.16666666666666;28
?s?u?u?u?u;-0.0;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?l;-4.8;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?s?u?u?u?s;-0.2;28
?u?u?u?u?u;-205.16666666666666;28
;-0.0;28
?u?u?u?u?u?d?l?s;-0.0;28
?u?u?u?u?u;-205.16666666666666;28
?d?u?u?u?u;-3.2;28
?u?u?u?d?u;-3.0;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u?u?u;-205.16666666666666;28
?u?d?u?u?u;-3.5;28
?u?d;-0.0;28
?u?u?u?s?u;-0.0;28
?u?u?u?u?u;-205.16666666666666;28
?l?u?u?u?u;-4.2;28
?u?u?u?u?u;-205.16666666666666;28
?u?u?u;-0.0;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?u?s?l?s;-0.0;29
?u?u;-0.0;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?s;-0.16666666666666666;29
?u?u?u?u?u;-205.16666666666666;29
?u?l?u?u?u;-5.333333333333333;29
?u?u?u?u?u?s?l?s;-0.0;29
?u?u?u?u?u?s?l?s;-0.0;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?s;-0.16666666666666666;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?u;-205.16666666666666;29
?u;-0.0;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?d?u?u;-2.4;29
?u?u?u?u;-136.33333333333334;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?u;-205.16666666666666;29
?u?d?u?u?u;-3.5;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?u;-205.16666666666666;29
?u?l?u?u?u;-5.333333333333333;29
?u?u?u?u?u;-205.16666666666666;29
?u?u;-0.0;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?d?u;-3.0;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?d;-12.0;29
?u?u?u?u?u;-205.16666666666666;29
?u?d?u?u?u;-3.5;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u;-136.33333333333334;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?u;-205.16666666666666;29
?u?u?u?u?u;-205.16666666666666;29
