?d?u?u?s?l;-0.0;1
;-0.0;1
?l?s?d?d;-0.8;1
?d;-0.0;1
?s?l?l?d?d?u?s?d;-0.0;1
?u?d?u?s?u?l?s;-0.0;1
;-0.0;1
?s;-0.0;1
?l?l?l?s?s?l?s?s;-0.0;1
?l?l?l?s?u?u?s;-0.0;1
?u;-0.0;1
?s?s?d?d?u?d?d?u;-0.0;1
?u?l?d?u;-1.5;1
?s?u?s?d?d?u?u?u;-0.0;1
;-0.0;1
?s?s?d?s;-0.0;1
?d?d?d?s?u?s?l;-0.0;1
?d?l?s?s?s?s?s?s;-0.0;1
?l?l?d?s?u;-0.0;1
?d?s?d?d?l?s?s?d;-0.0;1
;-0.0;1
?u?u?d?s?u?s?u?d;-0.0;1
;-0.0;1
?s?u?s?u?l?s;-0.0;1
?u?u?d?l?u?u?u;-0.42857142857142855;1
;-0.0;1
;-0.0;1
?s?l?u;-0.0;1
?l;-0.0;1
?s?u?u;-0.0;1
?l?u?l;-0.0;1
;-0.0;1
;-0.0;1
?l?l?d?s?u?s;-0.0;1
?u?s?u?u?d?s?s?l;-0.0;1
;-0.0;1
;-0.0;1
?u?u?u?l?u?d?u?s;-0.0;1
?l?u?s?d?d?d?d?l;-0.0;1
?u?d;-0.0;1
?u?l?u;-0.0;1
?l?d?s?s?l?l?d?s;-0.0;1
;-0.0;1
?l?l;-0.0;1
;-0.0;1
?u;-0.0;1
?d?s?d?s?u?d;-0.0;1
?s?s?s?s?d?l?u?l;-0.0;1
;-0.0;1
?l?d?s?d?s?u?d?s;-0.0;1
?l;-0.0;2
;-0.0;2
?d?u?u?s?u;-0.0;2
?s;-0.0;2
?u?l?d?u;-1.5;2
?d;-0.0;2
?s?s?s?s?d?l?u?l;-0.0;2
?u?l?d?u;-1.5;2
?s?u?u;-0.0;2
?l?d?s?d?s?u?d?s;-0.0;2
;-0.0;2
;-0.0;2
?u?d?u?s?u?l?s;-0.0;2
;-0.0;2
?l?s;-0.0;2
?u?d?u?s?u?l?s;-0.0;2
?d;-0.0;2
?u?d?d?s?u?s?l;-0.0;2
?s;-0.0;2
?u?l?d?u;-1.5;2
;-0.0;2
?l?s;-0.0;2
;-0.0;2
?u;-0.0;2
;-0.0;2
?u;-0.0;2
?d?l?u?u?d?s?u?l;-0.0;2
?u?s?s?s?s?s?l?s;-0.0;2
?s?u?u;-0.0;2
?l?l;-0.0;2
?u?d;-0.0;2
?u?d?u?s?u?l?s;-0.0;2
?d?u?u?s?l?s?l?d;-0.0;2
?l?l?s?s?u?u?s;-0.0;2
?u?u?d?l?l?u?u;-0.16666666666666666;2
;-0.0;2
?l?l;-0.0;2
;-0.0;2
?l?l;-0.0;2
?l?l?l?s?s?l?s?s;-0.0;2
?s?s?d?s?s?l?d?s;-0.0;2
?l?d?s?s;-0.0;2
;-0.0;2
?s;-0.0;2
;-0.0;2
;-0.0;2
?u?d?u?s?u?l?s;-0.0;2
?s?l?u?u;-0.0;2
;-0.0;2
?d?l?d?s;-0.0;2
;-0.0;3
?d;-0.0;3
?u?u?s?l?l?u?u;-0.0;3
?u?s?u?u?d?s?s?l;-0.0;3
?u?l?d?s;-0.2;3
?u?u?d?s?u?s?u?d;-0.0;3
?s?l?l?d;-0.0;3
?u?l?u?s?l?s?s?s;-0.0;3
;-0.0;3
?u?u?d?l?l?s?u;-0.0;3
?u?l?u;-0.0;3
?u?u?d?l?s?u?u;-0.0;3
?l?u?l;-0.0;3
;-0.0;3
;-0.0;3
?s?s;-0.0;3
?u?d;-0.0;3
?u;-0.0;3
?s?l?u;-0.0;3
?u;-0.0;3
?l?l?l?d?d?s?s?d;-0.0;3
?s;-0.0;3
?u?u?d?l?l?u?u;-0.16666666666666666;3
?u?l?d?l?u?u?u;-0.5;3
?s?s?d?d;-0.0;3
?l?u?s?d?d?u?u?u;-0.0;3
?u?l?d?u;-1.5;3
?u?d?u?s?u?l?s;-0.0;3
?u?l?d?u;-1.5;3
?d?u?d?u?l?s;-0.0;3
