Iteracion;Puntuacion;Array
0;-16369.863922706683;[1, 1, 1, 1, 1, 1, 0, 1]
1;-16369.863922706683;[1, 1, 1, 1, 1, 1, 0, 4]
2;-16369.863922706683;[1, 1, 1, 1, 1, 1, 0, 4]
3;-16369.863922706683;[1, 1, 1, 1, 1, 1, 0, 4]
4;-16369.863922706683;[1, 1, 1, 1, 1, 1, 0, 4]
5;-16369.863922706683;[1, 1, 1, 1, 1, 1, 0, 3]
6;-16369.863922706683;[1, 1, 1, 1, 1, 1, 0, 4]
7;-16369.863922706683;[1, 1, 1, 1, 1, 1, 0, 0]
8;-16369.863922706683;[1, 1, 1, 1, 1, 1, 0, 1]
9;-16369.863922706683;[1, 1, 1, 1, 1, 1, 0, 3]
