Iteracion;Puntuacion;Array
0;-16388.28474490197;[1, 1, 1, 1, 1, 1, 0, 1]
1;-16388.28474490197;[1, 1, 1, 1, 1, 1, 0, 1]
2;-16388.28474490197;[1, 1, 1, 1, 1, 1, 0, 0]
3;-16388.28474490197;[1, 1, 1, 1, 1, 1, 0, 1]
4;-16388.28474490197;[1, 1, 1, 1, 1, 1, 0, 1]
5;-16388.28474490197;[1, 1, 1, 1, 1, 1, 0, 1]
6;-16388.28474490197;[1, 1, 1, 1, 1, 1, 0, 1]
7;-16388.28474490197;[1, 1, 1, 1, 1, 1, 0, 3]
8;-16388.28474490197;[1, 1, 1, 1, 1, 1, 0, 4]
9;-16388.28474490197;[1, 1, 1, 1, 1, 1, 0, 1]
